# Исторические данные сигнального резонанса OGL1 (n=1)
# time_seconds	amplitude
0.0	0.351861
361.5	-0.333648
723.0	0.308438
1084.5	-0.259773
1446.0	0.196855
1807.5	-0.154326
2169.0	0.100892
2530.5	0.005574
2892.1	-0.085318
3253.6	0.113650
3615.1	-0.209518
3976.6	0.285222
4338.1	-0.309438
4699.6	0.355578
5061.1	-0.330130
5422.6	0.351662
5784.1	-0.303617
6145.6	0.274641
6507.1	-0.206884
6868.6	0.134710
7230.1	-0.095615
7591.6	-0.008633
7953.1	0.042336
8314.6	-0.143678
8676.2	0.230599
9037.7	-0.275594
9399.2	0.336781
9760.7	-0.379091
10122.2	0.319026
10483.7	-0.378245
10845.2	0.346823
11206.7	-0.284784
11568.2	0.253928
11929.7	-0.144729
12291.2	0.133791
12652.7	-0.016120
13014.2	-0.076140
13375.7	0.096276
13737.2	-0.232683
14098.7	0.301495
14460.3	-0.324750
14821.8	0.351215
15183.3	-0.413633
15544.8	0.358845
15906.3	-0.332928
16267.8	0.342671
16629.3	-0.260010
16990.8	0.155982
17352.3	-0.135275
17713.8	-0.001825
18075.3	0.047485
18436.8	-0.154087
18798.3	0.241386
19159.8	-0.265202
19521.3	0.307903
19882.8	-0.372774
20244.4	0.340254
20605.9	-0.363185
20967.4	0.354520
21328.9	-0.351937
21690.4	0.219307
22051.9	-0.187459
22413.4	0.142395
22774.9	-0.036504
23136.4	-0.038701
23497.9	0.136138
23859.4	-0.205999
24220.9	0.261851
24582.4	-0.289572
24943.9	0.379085
25305.4	-0.409713
25666.9	0.359663
26028.5	-0.306101
26390.0	0.260355
26751.5	-0.288902
27113.0	0.169335
27474.5	-0.114954
27836.0	0.033866
28197.5	0.046828
28559.0	-0.102596
28920.5	0.196202
29282.0	-0.272212
29643.5	0.269247
30005.0	-0.332889
30366.5	0.387932
30728.0	-0.360375
31089.5	0.338339
31451.0	-0.329104
31812.6	0.300856
32174.1	-0.165964
32535.6	0.090610
32897.1	-0.037410
33258.6	-0.040476
33620.1	0.128885
33981.6	-0.187105
34343.1	0.244691
34704.6	-0.334304
35066.1	0.349104
35427.6	-0.309214
35789.1	0.317258
36150.6	-0.332667
36512.1	0.316721
36873.6	-0.239073
37235.1	0.219570
37596.7	-0.114448
37958.2	0.039914
38319.7	0.035767
38681.2	-0.105279
39042.7	0.170757
39404.2	-0.224529
39765.7	0.255449
40127.2	-0.332030
40488.7	0.336828
40850.2	-0.371981
41211.7	0.312415
41573.2	-0.324637
41934.7	0.240075
42296.2	-0.189259
42657.7	0.148758
43019.2	-0.070248
43380.8	-0.017305
43742.3	0.108250
44103.8	-0.188954
44465.3	0.221312
44826.8	-0.306544
45188.3	0.313561
45549.8	-0.360638
45911.3	0.331168
46272.8	-0.322134
46634.3	0.264190
46995.8	-0.228120
47357.3	0.191815
47718.8	-0.126372
48080.3	0.018567
48441.8	0.033755
48803.3	-0.072856
49164.9	0.217420
49526.4	-0.188831
49887.9	0.266959
50249.4	-0.293807
50610.9	0.287730
50972.4	-0.328846
51333.9	0.317304
51695.4	-0.274076
52056.9	0.205724
52418.4	-0.182339
52779.9	0.136160
53141.4	-0.065130
53502.9	-0.028729
53864.4	0.081315
54225.9	-0.116164
54587.4	0.226922
54949.0	-0.255244
55310.5	0.268135
55672.0	-0.270366
56033.5	0.276864
56395.0	-0.319531
56756.5	0.275904
57118.0	-0.236068
57479.5	0.195314
57841.0	-0.099209
58202.5	0.082273
58564.0	-0.008869
58925.5	-0.119717
59287.0	0.134970
59648.5	-0.196395
60010.0	0.232383
60371.5	-0.239770
60733.1	0.267180
61094.6	-0.319518
61456.1	0.314338
61817.6	-0.298214
62179.1	0.238172
62540.6	-0.218411
62902.1	0.136351
63263.6	-0.104277
63625.1	0.002741
63986.6	0.063275
64348.1	-0.146539
64709.6	0.208144
65071.1	-0.242859
65432.6	0.276763
65794.1	-0.275897
66155.6	0.305033
66517.2	-0.313228
66878.7	0.272841
67240.2	-0.237596
67601.7	0.158618
67963.2	-0.119917
68324.7	0.080385
68686.2	-0.013485
69047.7	-0.065862
69409.2	0.124638
69770.7	-0.221935
70132.2	0.240940
70493.7	-0.282048
70855.2	0.275367
71216.7	-0.304111
71578.2	0.286641
71939.7	-0.294504
72301.3	0.243253
72662.8	-0.255978
73024.3	0.084370
73385.8	-0.069758
73747.3	0.029292
74108.8	0.045230
74470.3	-0.104092
74831.8	0.162778
75193.3	-0.229769
75554.8	0.270503
75916.3	-0.251529
76277.8	0.245143
76639.3	-0.317047
77000.8	0.296741
77362.3	-0.288141
77723.8	0.221071
78085.4	-0.168812
78446.9	0.088662
78808.4	0.005275
79169.9	-0.071538
79531.4	0.149471
79892.9	-0.206233
80254.4	0.204911
80615.9	-0.315386
80977.4	0.302804
81338.9	-0.341500
81700.4	0.319613
82061.9	-0.328569
82423.4	0.279058
82784.9	-0.228774
83146.4	0.157378
83507.9	-0.086544
83869.5	0.000596
84231.0	0.065145
84592.5	-0.121735
84954.0	0.213209
85315.5	-0.300503
85677.0	0.282380
86038.5	-0.327525
86400.0	0.350296
